id,keyword,cluster,intent,target_route,content_type,conversion_score,competition_guess,priority
"NEG-040","freelancer negotiation email when client asks for urgent delivery without extra fee","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-041","how to respond when client asks for one more revision for free","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-042","what to say when client asks for one more revision for free","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-043","reply template when client asks for one more revision for free","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-044","freelancer negotiation email when client asks for one more revision for free","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-045","how to respond when client says the scope is small so price should drop","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-046","what to say when client says the scope is small so price should drop","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-047","reply template when client says the scope is small so price should drop","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-048","freelancer negotiation email when client says the scope is small so price should drop","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-049","how to respond when client asks for bundled services at a lower price","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-050","what to say when client asks for bundled services at a lower price","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-051","reply template when client asks for bundled services at a lower price","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-052","freelancer negotiation email when client asks for bundled services at a lower price","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-053","how to respond when client wants monthly retainer at a lower rate","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-054","what to say when client wants monthly retainer at a lower rate","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-055","reply template when client wants monthly retainer at a lower rate","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-056","freelancer negotiation email when client wants monthly retainer at a lower rate","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-057","how to respond when client asks to remove contract and lower price","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-058","what to say when client asks to remove contract and lower price","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-059","reply template when client asks to remove contract and lower price","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-060","freelancer negotiation email when client asks to remove contract and lower price","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-061","how to respond when client asks for performance-based pricing only","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-062","what to say when client asks for performance-based pricing only","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-063","reply template when client asks for performance-based pricing only","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-064","freelancer negotiation email when client asks for performance-based pricing only","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-065","how to respond when client asks for trial work at a reduced fee","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-066","what to say when client asks for trial work at a reduced fee","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-067","reply template when client asks for trial work at a reduced fee","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-068","freelancer negotiation email when client asks for trial work at a reduced fee","negotiation-discount","objection-handling","/deal","template","5","low","P1"
"NEG-069","how to respond when client asks for payment terms and a discount together","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"NEG-070","what to say when client asks for payment terms and a discount together","negotiation-discount","objection-handling","/deal","guide","4","low","P2"
"PRI-001","how to price freelance logo design project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-002","freelance logo design project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-003","freelance logo design project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-004","how to price freelance website redesign project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-005","freelance website redesign project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-006","freelance website redesign project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-007","how to price freelance landing page copywriting project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-008","freelance landing page copywriting project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-009","freelance landing page copywriting project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","low","P1"
"PRI-010","how to price freelance social media management project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-011","freelance social media management project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-012","freelance social media management project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","low","P1"
"PRI-013","how to price freelance video editing project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-014","freelance video editing project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-015","freelance video editing project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-016","how to price freelance short form video editing project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-017","freelance short form video editing project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-018","freelance short form video editing project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","low","P1"
"PRI-019","how to price freelance ui ux design project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-020","freelance ui ux design project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-021","freelance ui ux design project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","low","P1"
"PRI-022","how to price freelance wordpress website project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-023","freelance wordpress website project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-024","freelance wordpress website project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-025","how to price freelance shopify store setup project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-026","freelance shopify store setup project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-027","freelance shopify store setup project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","low","P1"
"PRI-028","how to price freelance email marketing setup project","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-029","freelance email marketing setup project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-030","freelance email marketing setup project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","low","P1"
"PRI-031","how to price freelance seo content writing project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-032","freelance seo content writing project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-033","freelance seo content writing project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","low","P1"
"PRI-034","how to price freelance blog writing retainer","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-035","freelance blog writing retainer pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-036","freelance blog writing retainer rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-037","how to price freelance brand strategy package","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-038","freelance brand strategy package pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-039","freelance brand strategy package rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-040","how to price freelance pitch deck design project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-041","freelance pitch deck design project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-042","freelance pitch deck design project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","low","P1"
"PRI-043","how to price freelance motion graphics project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-044","freelance motion graphics project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-045","freelance motion graphics project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-046","how to price freelance podcast editing project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-047","freelance podcast editing project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-048","freelance podcast editing project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-049","how to price freelance ad creative package","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-050","freelance ad creative package pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-051","freelance ad creative package rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-052","how to price freelance monthly content retainer","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-053","freelance monthly content retainer pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-054","freelance monthly content retainer rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-055","how to price freelance conversion copywriting project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-056","freelance conversion copywriting project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-057","freelance conversion copywriting project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-058","how to price freelance product page copy project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-059","freelance product page copy project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-060","freelance product page copy project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","low","P1"
"PRI-061","how to price freelance app design sprint","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-062","freelance app design sprint pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-063","freelance app design sprint rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-064","how to price freelance web development sprint","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-065","freelance web development sprint pricing template","pricing-strategy","pricing-decision","/pricing","template","5","medium","P2"
"PRI-066","freelance web development sprint rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","medium","P2"
"PRI-067","how to price freelance no code build project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"PRI-068","freelance no code build project pricing template","pricing-strategy","pricing-decision","/pricing","template","5","low","P1"
"PRI-069","freelance no code build project rate calculator","pricing-strategy","pricing-decision","/pricing","tool","5","low","P1"
"PRI-070","how to price freelance crm setup project","pricing-strategy","pricing-decision","/pricing","guide","4","low","P2"
"COM-001","how to follow up when client stops replying after proposal","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-002","email template when client stops replying after proposal","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-003","freelancer message script when client stops replying after proposal","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-004","how to follow up when client has not replied for a week","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-005","email template when client has not replied for a week","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-006","freelancer message script when client has not replied for a week","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-007","how to follow up when client viewed proposal but did not respond","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-008","email template when client viewed proposal but did not respond","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-009","freelancer message script when client viewed proposal but did not respond","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-010","how to follow up when client keeps delaying feedback","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-011","email template when client keeps delaying feedback","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-012","freelancer message script when client keeps delaying feedback","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-013","how to follow up when client says they will get back to you soon","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-014","email template when client says they will get back to you soon","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-015","freelancer message script when client says they will get back to you soon","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-016","how to follow up when client missed project kickoff meeting","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-017","email template when client missed project kickoff meeting","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-018","freelancer message script when client missed project kickoff meeting","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-019","how to follow up when client is late with required assets","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-020","email template when client is late with required assets","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-021","freelancer message script when client is late with required assets","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-022","how to follow up when client sends unclear feedback","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-023","email template when client sends unclear feedback","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-024","freelancer message script when client sends unclear feedback","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-025","how to follow up when client gives conflicting instructions","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-026","email template when client gives conflicting instructions","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-027","freelancer message script when client gives conflicting instructions","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-028","how to follow up when client asks for status updates every day","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-029","email template when client asks for status updates every day","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-030","freelancer message script when client asks for status updates every day","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-031","how to follow up when client keeps changing direction","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-032","email template when client keeps changing direction","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-033","freelancer message script when client keeps changing direction","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-034","how to follow up when client asks for updates outside agreed channel","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-035","email template when client asks for updates outside agreed channel","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-036","freelancer message script when client asks for updates outside agreed channel","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-037","how to follow up when client rejects timeline after kickoff","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-038","email template when client rejects timeline after kickoff","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-039","freelancer message script when client rejects timeline after kickoff","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-040","how to follow up when client asks to pause project suddenly","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-041","email template when client asks to pause project suddenly","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-042","freelancer message script when client asks to pause project suddenly","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-043","how to follow up when client returns after long silence","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-044","email template when client returns after long silence","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-045","freelancer message script when client returns after long silence","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-046","how to follow up when client asks for call before every decision","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-047","email template when client asks for call before every decision","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-048","freelancer message script when client asks for call before every decision","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-049","how to follow up when client escalates tone in email thread","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-050","email template when client escalates tone in email thread","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-051","freelancer message script when client escalates tone in email thread","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-052","how to follow up when client asks for weekend responses","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-053","email template when client asks for weekend responses","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-054","freelancer message script when client asks for weekend responses","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-055","how to follow up when client asks for same day revisions repeatedly","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-056","email template when client asks for same day revisions repeatedly","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-057","freelancer message script when client asks for same day revisions repeatedly","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-058","how to follow up when client says your message sounds too formal","client-communication","follow-up-and-alignment","/deal","guide","4","low","P2"
"COM-059","email template when client says your message sounds too formal","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"COM-060","freelancer message script when client says your message sounds too formal","client-communication","follow-up-and-alignment","/deal","template","5","low","P1"
"PRO-001","freelance proposal template for website redesign project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-002","how to write a proposal for website redesign project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-003","freelance proposal template for brand identity project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-004","how to write a proposal for brand identity project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-005","freelance proposal template for seo copywriting project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-006","how to write a proposal for seo copywriting project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-007","freelance proposal template for video editing project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-008","how to write a proposal for video editing project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-009","freelance proposal template for social media retainer","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-010","how to write a proposal for social media retainer","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-011","freelance proposal template for email marketing setup","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-012","how to write a proposal for email marketing setup","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-013","freelance proposal template for landing page design project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-014","how to write a proposal for landing page design project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-015","freelance proposal template for app ui design project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-016","how to write a proposal for app ui design project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-017","freelance proposal template for wordpress development project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-018","how to write a proposal for wordpress development project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-019","freelance proposal template for shopify migration project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-020","how to write a proposal for shopify migration project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-021","freelance proposal template for marketing strategy consulting","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-022","how to write a proposal for marketing strategy consulting","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-023","freelance proposal template for monthly content package","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-024","how to write a proposal for monthly content package","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-025","freelance proposal template for ad creative retainer","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-026","how to write a proposal for ad creative retainer","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-027","freelance proposal template for sales page copywriting project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-028","how to write a proposal for sales page copywriting project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-029","freelance proposal template for podcast production package","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-030","how to write a proposal for podcast production package","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-031","freelance proposal template for product photography package","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-032","how to write a proposal for product photography package","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-033","freelance proposal template for content repurposing service","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-034","how to write a proposal for content repurposing service","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-035","freelance proposal template for crm implementation project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-036","how to write a proposal for crm implementation project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-037","freelance proposal template for analytics setup project","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-038","how to write a proposal for analytics setup project","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-039","freelance proposal template for startup launch package","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-040","how to write a proposal for startup launch package","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-041","freelance proposal template for scope creep prevention clause","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-042","how to write a proposal for scope creep prevention clause","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-043","freelance proposal template for revision policy section","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-044","how to write a proposal for revision policy section","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-045","freelance proposal template for payment milestones section","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-046","how to write a proposal for payment milestones section","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-047","freelance proposal template for rush fee clause","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-048","how to write a proposal for rush fee clause","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"PRO-049","freelance proposal template for change request process section","proposal-and-scope","proposal-creation","/scope","template","5","low","P1"
"PRO-050","how to write a proposal for change request process section","proposal-and-scope","proposal-creation","/scope","guide","4","low","P2"
"RAT-001","how to raise rates when renewing with an existing client","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-002","rate increase email template when renewing with an existing client","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-003","how to raise rates when client has been paying the same rate for years","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-004","rate increase email template when client has been paying the same rate for years","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-005","how to raise rates when your workload increased significantly","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-006","rate increase email template when your workload increased significantly","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-007","how to raise rates when client asks for more scope than before","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-008","rate increase email template when client asks for more scope than before","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-009","how to raise rates when project complexity increased this quarter","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-010","rate increase email template when project complexity increased this quarter","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-011","how to raise rates when you moved from hourly to value pricing","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-012","rate increase email template when you moved from hourly to value pricing","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-013","how to raise rates when you want to raise rates without losing client","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-014","rate increase email template when you want to raise rates without losing client","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
