page_id,tier,cluster_id,template_id,page_type,cta_type,title,route,variable_value,source,expansion_of,expansion_rule,expansion_dimension
"CORE-043","core","pricing","pricing-country","cluster","pricing","Freelance pricing in Canada","/pricing/freelance-pricing-in-canada","Canada","flowdockr-seo-machine-v2-part1","","",""
"CORE-044","core","pricing","pricing-country","cluster","pricing","Freelance pricing in Australia","/pricing/freelance-pricing-in-australia","Australia","flowdockr-seo-machine-v2-part1","","",""
"CORE-045","core","pricing","pricing-country","cluster","pricing","Freelance pricing in Germany","/pricing/freelance-pricing-in-germany","Germany","flowdockr-seo-machine-v2-part1","","",""
"CORE-046","core","pricing","pricing-country","cluster","pricing","Freelance pricing in France","/pricing/freelance-pricing-in-france","France","flowdockr-seo-machine-v2-part1","","",""
"CORE-047","core","pricing","pricing-country","cluster","pricing","Freelance pricing in Netherlands","/pricing/freelance-pricing-in-netherlands","Netherlands","flowdockr-seo-machine-v2-part1","","",""
"CORE-048","core","pricing","pricing-country","cluster","pricing","Freelance pricing in Singapore","/pricing/freelance-pricing-in-singapore","Singapore","flowdockr-seo-machine-v2-part1","","",""
"CORE-049","core","pricing","pricing-country","cluster","pricing","Freelance pricing in India","/pricing/freelance-pricing-in-india","India","flowdockr-seo-machine-v2-part1","","",""
"CORE-050","core","pricing","pricing-country","cluster","pricing","Freelance pricing in Philippines","/pricing/freelance-pricing-in-philippines","Philippines","flowdockr-seo-machine-v2-part1","","",""
"CORE-051","core","client-communication","communication-problem","problem","reply","How to handle client not responding","/client-communication/client-not-responding","client not responding","flowdockr-seo-machine-v2-part1","","",""
"CORE-052","core","client-communication","communication-problem","problem","reply","How to handle client ghosting","/client-communication/client-ghosting","client ghosting","flowdockr-seo-machine-v2-part1","","",""
"CORE-053","core","client-communication","communication-problem","problem","reply","How to handle client delayed reply","/client-communication/client-delayed-reply","client delayed reply","flowdockr-seo-machine-v2-part1","","",""
"CORE-054","core","client-communication","communication-problem","problem","reply","How to handle client rejecting proposal","/client-communication/client-rejecting-proposal","client rejecting proposal","flowdockr-seo-machine-v2-part1","","",""
"CORE-055","core","client-communication","communication-problem","problem","reply","How to handle client requesting changes","/client-communication/client-requesting-changes","client requesting changes","flowdockr-seo-machine-v2-part1","","",""
"CORE-056","core","client-communication","communication-problem","problem","reply","How to handle client asking many revisions","/client-communication/client-asking-many-revisions","client asking many revisions","flowdockr-seo-machine-v2-part1","","",""
"CORE-057","core","client-communication","communication-problem","problem","reply","How to handle client unclear requirements","/client-communication/client-unclear-requirements","client unclear requirements","flowdockr-seo-machine-v2-part1","","",""
"CORE-058","core","client-communication","communication-problem","problem","reply","How to handle client communication breakdown","/client-communication/client-communication-breakdown","client communication breakdown","flowdockr-seo-machine-v2-part1","","",""
"CORE-059","core","client-communication","communication-problem","problem","reply","How to handle client delaying feedback","/client-communication/client-delaying-feedback","client delaying feedback","flowdockr-seo-machine-v2-part1","","",""
"CORE-060","core","client-communication","communication-problem","problem","reply","How to handle client asking urgent delivery","/client-communication/client-asking-urgent-delivery","client asking urgent delivery","flowdockr-seo-machine-v2-part1","","",""
"CORE-061","core","client-communication","communication-problem","problem","reply","How to handle client changing scope","/client-communication/client-changing-scope","client changing scope","flowdockr-seo-machine-v2-part1","","",""
"CORE-062","core","client-communication","communication-problem","problem","reply","How to handle client misunderstanding deliverables","/client-communication/client-misunderstanding-deliverables","client misunderstanding deliverables","flowdockr-seo-machine-v2-part1","","",""
"CORE-063","core","client-communication","communication-problem","problem","reply","How to handle client refusing contract","/client-communication/client-refusing-contract","client refusing contract","flowdockr-seo-machine-v2-part1","","",""
"CORE-064","core","client-communication","communication-problem","problem","reply","How to handle client ignoring invoice","/client-communication/client-ignoring-invoice","client ignoring invoice","flowdockr-seo-machine-v2-part1","","",""
"CORE-065","core","client-communication","communication-problem","problem","reply","How to handle client pushing deadlines","/client-communication/client-pushing-deadlines","client pushing deadlines","flowdockr-seo-machine-v2-part1","","",""
"CORE-066","core","email-scripts","email-script","problem","reply","Email template for follow up proposal","/email-scripts/email-template-for-follow-up-proposal","follow up proposal","flowdockr-seo-machine-v2-part1","","",""
"CORE-067","core","email-scripts","email-script","problem","reply","Email template for price negotiation","/email-scripts/email-template-for-price-negotiation","price negotiation","flowdockr-seo-machine-v2-part1","","",""
"CORE-068","core","email-scripts","email-script","problem","reply","Email template for late payment reminder","/email-scripts/email-template-for-late-payment-reminder","late payment reminder","flowdockr-seo-machine-v2-part1","","",""
"CORE-069","core","email-scripts","email-script","problem","reply","Email template for project confirmation","/email-scripts/email-template-for-project-confirmation","project confirmation","flowdockr-seo-machine-v2-part1","","",""
"CORE-070","core","email-scripts","email-script","problem","reply","Email template for proposal reminder","/email-scripts/email-template-for-proposal-reminder","proposal reminder","flowdockr-seo-machine-v2-part1","","",""
"CORE-071","core","email-scripts","email-script","problem","reply","Email template for scope change request","/email-scripts/email-template-for-scope-change-request","scope change request","flowdockr-seo-machine-v2-part1","","",""
"CORE-072","core","email-scripts","email-script","problem","reply","Email template for client onboarding","/email-scripts/email-template-for-client-onboarding","client onboarding","flowdockr-seo-machine-v2-part1","","",""
"CORE-073","core","email-scripts","email-script","problem","reply","Email template for proposal rejection response","/email-scripts/email-template-for-proposal-rejection-response","proposal rejection response","flowdockr-seo-machine-v2-part1","","",""
"CORE-074","core","email-scripts","email-script","problem","reply","Email template for meeting scheduling","/email-scripts/email-template-for-meeting-scheduling","meeting scheduling","flowdockr-seo-machine-v2-part1","","",""
"CORE-075","core","email-scripts","email-script","problem","reply","Email template for contract signing","/email-scripts/email-template-for-contract-signing","contract signing","flowdockr-seo-machine-v2-part1","","",""
"CORE-076","core","proposals","proposal-service","cluster","proposal","Freelance proposal for web design","/proposals/freelance-proposal-for-web-design","web design","flowdockr-seo-machine-v2-part1","","",""
"CORE-077","core","proposals","proposal-service","cluster","proposal","Freelance proposal for copywriting","/proposals/freelance-proposal-for-copywriting","copywriting","flowdockr-seo-machine-v2-part1","","",""
"CORE-078","core","proposals","proposal-service","cluster","proposal","Freelance proposal for SEO consulting","/proposals/freelance-proposal-for-seo-consulting","SEO consulting","flowdockr-seo-machine-v2-part1","","",""
"CORE-079","core","proposals","proposal-service","cluster","proposal","Freelance proposal for branding","/proposals/freelance-proposal-for-branding","branding","flowdockr-seo-machine-v2-part1","","",""
"CORE-080","core","proposals","proposal-service","cluster","proposal","Freelance proposal for logo design","/proposals/freelance-proposal-for-logo-design","logo design","flowdockr-seo-machine-v2-part1","","",""
"CORE-081","core","proposals","proposal-service","cluster","proposal","Freelance proposal for marketing strategy","/proposals/freelance-proposal-for-marketing-strategy","marketing strategy","flowdockr-seo-machine-v2-part1","","",""
"CORE-082","core","proposals","proposal-service","cluster","proposal","Freelance proposal for UX design","/proposals/freelance-proposal-for-ux-design","UX design","flowdockr-seo-machine-v2-part1","","",""
"CORE-083","core","proposals","proposal-service","cluster","proposal","Freelance proposal for video production","/proposals/freelance-proposal-for-video-production","video production","flowdockr-seo-machine-v2-part1","","",""
"CORE-084","core","proposals","proposal-service","cluster","proposal","Freelance proposal for landing page design","/proposals/freelance-proposal-for-landing-page-design","landing page design","flowdockr-seo-machine-v2-part1","","",""
"CORE-085","core","proposals","proposal-service","cluster","proposal","Freelance proposal for social media management","/proposals/freelance-proposal-for-social-media-management","social media management","flowdockr-seo-machine-v2-part1","","",""
"CORE-086","core","rate-increase","rate-increase-service","cluster","pricing","How to raise freelance rate for design","/rate-increase/how-to-raise-freelance-rate-for-design","design","flowdockr-seo-machine-v2-part1","","",""
"CORE-087","core","rate-increase","rate-increase-service","cluster","pricing","How to raise freelance rate for copywriting","/rate-increase/how-to-raise-freelance-rate-for-copywriting","copywriting","flowdockr-seo-machine-v2-part1","","",""
"CORE-088","core","rate-increase","rate-increase-service","cluster","pricing","How to raise freelance rate for development","/rate-increase/how-to-raise-freelance-rate-for-development","development","flowdockr-seo-machine-v2-part1","","",""
"CORE-089","core","rate-increase","rate-increase-service","cluster","pricing","How to raise freelance rate for video editing","/rate-increase/how-to-raise-freelance-rate-for-video-editing","video editing","flowdockr-seo-machine-v2-part1","","",""
"CORE-090","core","rate-increase","rate-increase-service","cluster","pricing","How to raise freelance rate for consulting","/rate-increase/how-to-raise-freelance-rate-for-consulting","consulting","flowdockr-seo-machine-v2-part1","","",""
"CORE-091","core","rate-increase","rate-increase-service","cluster","pricing","How to raise freelance rate for SEO services","/rate-increase/how-to-raise-freelance-rate-for-seo-services","SEO services","flowdockr-seo-machine-v2-part1","","",""
"CORE-092","core","rate-increase","rate-increase-service","cluster","pricing","How to raise freelance rate for marketing","/rate-increase/how-to-raise-freelance-rate-for-marketing","marketing","flowdockr-seo-machine-v2-part1","","",""
"CORE-093","core","rate-increase","rate-increase-service","cluster","pricing","How to raise freelance rate for branding","/rate-increase/how-to-raise-freelance-rate-for-branding","branding","flowdockr-seo-machine-v2-part1","","",""
"CORE-094","core","objections","objection-scenario","problem","reply","How to respond when client says too expensive","/objections/how-to-respond-when-client-says-too-expensive","too expensive","flowdockr-seo-machine-v2-part1","","",""
"CORE-095","core","objections","objection-scenario","problem","reply","How to respond when client says budget too small","/objections/how-to-respond-when-client-says-budget-too-small","budget too small","flowdockr-seo-machine-v2-part1","","",""
"CORE-096","core","objections","objection-scenario","problem","reply","How to respond when client says not sure yet","/objections/how-to-respond-when-client-says-not-sure-yet","not sure yet","flowdockr-seo-machine-v2-part1","","",""
"CORE-097","core","objections","objection-scenario","problem","reply","How to respond when client says need to compare others","/objections/how-to-respond-when-client-says-need-to-compare-others","need to compare others","flowdockr-seo-machine-v2-part1","","",""
"CORE-098","core","objections","objection-scenario","problem","reply","How to respond when client says need approval","/objections/how-to-respond-when-client-says-need-approval","need approval","flowdockr-seo-machine-v2-part1","","",""
"CORE-099","core","objections","objection-scenario","problem","reply","How to respond when client says maybe later","/objections/how-to-respond-when-client-says-maybe-later","maybe later","flowdockr-seo-machine-v2-part1","","",""
"CORE-100","core","objections","objection-scenario","problem","reply","How to respond when client says too busy now","/objections/how-to-respond-when-client-says-too-busy-now","too busy now","flowdockr-seo-machine-v2-part1","","",""
"CORE-101","core","tools","tools-core","tool","tool","Freelance Rate Calculator","/tools/freelance-rate-calculator","","flowdockr-seo-machine-v2-part1","","",""
"CORE-102","core","tools","tools-core","tool","tool","Client Negotiation Reply Generator","/tools/client-negotiation-reply-generator","","flowdockr-seo-machine-v2-part1","","",""
"CORE-103","core","tools","tools-core","tool","tool","Follow-up Email Generator","/tools/follow-up-email-generator","","flowdockr-seo-machine-v2-part1","","",""
"CORE-104","core","tools","tools-core","tool","tool","Proposal Generator","/tools/proposal-generator","","flowdockr-seo-machine-v2-part1","","",""
"CORE-105","core","tools","tools-core","tool","tool","Scope Creep Response Generator","/tools/scope-creep-response-generator","","flowdockr-seo-machine-v2-part1","","",""
"CORE-106","core","tools","tools-core","tool","tool","Late Payment Reminder Generator","/tools/late-payment-reminder-generator","","flowdockr-seo-machine-v2-part1","","",""
"CORE-107","core","tools","tools-core","tool","tool","Client Objection Response Generator","/tools/client-objection-response-generator","","flowdockr-seo-machine-v2-part1","","",""
"CORE-108","core","tools","tools-core","tool","tool","Freelance Pricing Calculator","/tools/freelance-pricing-calculator","","flowdockr-seo-machine-v2-part1","","",""
"CORE-109","core","pillars","pillars-core","pillar","pillar","Freelance Negotiation Guide","/freelance-negotiation-guide","","flowdockr-seo-machine-v2-part1","","",""
"CORE-110","core","pillars","pillars-core","pillar","pillar","Freelance Pricing Guide","/freelance-pricing-guide","","flowdockr-seo-machine-v2-part1","","",""
"CORE-111","core","pillars","pillars-core","pillar","pillar","Client Communication Guide","/client-communication-guide","","flowdockr-seo-machine-v2-part1","","",""
"CORE-112","core","pillars","pillars-core","pillar","pillar","Freelance Proposal Guide","/freelance-proposal-guide","","flowdockr-seo-machine-v2-part1","","",""
"CORE-113","core","pillars","pillars-core","pillar","pillar","Freelance Email Templates","/freelance-email-templates","","flowdockr-seo-machine-v2-part1","","",""
"CORE-114","core","pillars","pillars-core","pillar","pillar","How To Raise Freelance Rates","/how-to-raise-freelance-rates","","flowdockr-seo-machine-v2-part1","","",""
