id,status,page_type,cluster,primary_keyword,title,slug,situation,variables_json,target_tool,pillar_ref,related_refs,outline,last_generated_at,published_at,quality_score,flags,gsc_impressions,gsc_clicks,ctr,avg_position,refresh_reason,route,cta_type,tier,source_page_id
"SEO-0011","queued","problem","negotiation","client asking free trial","How to respond when client asking free trial","client-asking-free-trial","client_asking_free_trial","{""seed"":""client asking free trial""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-asking-free-trial","reply","core","CORE-011"
"SEO-0012","queued","problem","negotiation","client requesting revision without pay","How to respond when client requesting revision without pay","client-requesting-revision-without-pay","client_requesting_revision_without_pay","{""seed"":""client requesting revision without pay""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-requesting-revision-without-pay","reply","core","CORE-012"
"SEO-0013","queued","problem","negotiation","client asking scope expansion","How to respond when client asking scope expansion","client-asking-scope-expansion","client_asking_scope_expansion","{""seed"":""client asking scope expansion""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-asking-scope-expansion","reply","core","CORE-013"
"SEO-0014","queued","problem","negotiation","client delaying payment negotiation","How to respond when client delaying payment negotiation","client-delaying-payment-negotiation","client_delaying_payment_negotiation","{""seed"":""client delaying payment negotiation""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-delaying-payment-negotiation","reply","core","CORE-014"
"SEO-0015","queued","problem","negotiation","client rejecting proposal price","How to respond when client rejecting proposal price","client-rejecting-proposal-price","client_rejecting_proposal_price","{""seed"":""client rejecting proposal price""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-rejecting-proposal-price","reply","core","CORE-015"
"SEO-0016","queued","problem","negotiation","client requesting partial discount","How to respond when client requesting partial discount","client-requesting-partial-discount","client_requesting_partial_discount","{""seed"":""client requesting partial discount""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-requesting-partial-discount","reply","core","CORE-016"
"SEO-0017","queued","problem","negotiation","client wants hourly reduction","How to respond when client wants hourly reduction","client-wants-hourly-reduction","client_wants_hourly_reduction","{""seed"":""client wants hourly reduction""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-wants-hourly-reduction","reply","core","CORE-017"
"SEO-0018","queued","problem","negotiation","client negotiating contract rate","How to respond when client negotiating contract rate","client-negotiating-contract-rate","client_negotiating_contract_rate","{""seed"":""client negotiating contract rate""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-negotiating-contract-rate","reply","core","CORE-018"
"SEO-0019","queued","problem","negotiation","client asking bundle discount","How to respond when client asking bundle discount","client-asking-bundle-discount","client_asking_bundle_discount","{""seed"":""client asking bundle discount""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-asking-bundle-discount","reply","core","CORE-019"
"SEO-0020","queued","problem","negotiation","client questioning value","How to respond when client questioning value","client-questioning-value","client_questioning_value","{""seed"":""client questioning value""}","client-negotiation-reply-generator","freelance-negotiation-guide","SEO-0001|SEO-0002|SEO-0003|SEO-0004","","","","","","","","","","","/negotiation/client-questioning-value","reply","core","CORE-020"
"SEO-0021","idea","cluster","pricing","design","How to price freelance design","how-to-price-freelance-design","","{""seed"":""design""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0022|SEO-0023|SEO-0024|SEO-0025","","","","","","","","","","","/pricing/how-to-price-freelance-design","pricing","core","CORE-021"
"SEO-0022","idea","cluster","pricing","copywriting","How to price freelance copywriting","how-to-price-freelance-copywriting","","{""seed"":""copywriting""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0023|SEO-0024|SEO-0025","","","","","","","","","","","/pricing/how-to-price-freelance-copywriting","pricing","core","CORE-022"
"SEO-0023","idea","cluster","pricing","web development","How to price freelance web development","how-to-price-freelance-web-development","","{""seed"":""web development""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0024|SEO-0025","","","","","","","","","","","/pricing/how-to-price-freelance-web-development","pricing","core","CORE-023"
"SEO-0024","idea","cluster","pricing","video editing","How to price freelance video editing","how-to-price-freelance-video-editing","","{""seed"":""video editing""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0025","","","","","","","","","","","/pricing/how-to-price-freelance-video-editing","pricing","core","CORE-024"
"SEO-0025","idea","cluster","pricing","illustration","How to price freelance illustration","how-to-price-freelance-illustration","","{""seed"":""illustration""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/how-to-price-freelance-illustration","pricing","core","CORE-025"
"SEO-0026","idea","cluster","pricing","social media","How to price freelance social media","how-to-price-freelance-social-media","","{""seed"":""social media""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/how-to-price-freelance-social-media","pricing","core","CORE-026"
"SEO-0027","idea","cluster","pricing","marketing consulting","How to price freelance marketing consulting","how-to-price-freelance-marketing-consulting","","{""seed"":""marketing consulting""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/how-to-price-freelance-marketing-consulting","pricing","core","CORE-027"
"SEO-0028","idea","cluster","pricing","UX design","How to price freelance UX design","how-to-price-freelance-ux-design","","{""seed"":""UX design""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/how-to-price-freelance-ux-design","pricing","core","CORE-028"
"SEO-0029","idea","cluster","pricing","logo design","How to price freelance logo design","how-to-price-freelance-logo-design","","{""seed"":""logo design""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/how-to-price-freelance-logo-design","pricing","core","CORE-029"
"SEO-0030","idea","cluster","pricing","SEO consulting","How to price freelance SEO consulting","how-to-price-freelance-seo-consulting","","{""seed"":""SEO consulting""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/how-to-price-freelance-seo-consulting","pricing","core","CORE-030"
"SEO-0031","idea","cluster","pricing","designer","Freelance rate for designer","freelance-rate-for-designer","","{""seed"":""designer""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-rate-for-designer","pricing","core","CORE-031"
"SEO-0032","idea","cluster","pricing","copywriter","Freelance rate for copywriter","freelance-rate-for-copywriter","","{""seed"":""copywriter""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-rate-for-copywriter","pricing","core","CORE-032"
"SEO-0033","idea","cluster","pricing","developer","Freelance rate for developer","freelance-rate-for-developer","","{""seed"":""developer""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-rate-for-developer","pricing","core","CORE-033"
"SEO-0034","idea","cluster","pricing","video editor","Freelance rate for video editor","freelance-rate-for-video-editor","","{""seed"":""video editor""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-rate-for-video-editor","pricing","core","CORE-034"
"SEO-0035","idea","cluster","pricing","illustrator","Freelance rate for illustrator","freelance-rate-for-illustrator","","{""seed"":""illustrator""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-rate-for-illustrator","pricing","core","CORE-035"
"SEO-0036","idea","cluster","pricing","motion designer","Freelance rate for motion designer","freelance-rate-for-motion-designer","","{""seed"":""motion designer""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-rate-for-motion-designer","pricing","core","CORE-036"
"SEO-0037","idea","cluster","pricing","marketing consultant","Freelance rate for marketing consultant","freelance-rate-for-marketing-consultant","","{""seed"":""marketing consultant""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-rate-for-marketing-consultant","pricing","core","CORE-037"
"SEO-0038","idea","cluster","pricing","SEO specialist","Freelance rate for SEO specialist","freelance-rate-for-seo-specialist","","{""seed"":""SEO specialist""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-rate-for-seo-specialist","pricing","core","CORE-038"
"SEO-0039","idea","cluster","pricing","UX designer","Freelance rate for UX designer","freelance-rate-for-ux-designer","","{""seed"":""UX designer""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-rate-for-ux-designer","pricing","core","CORE-039"
"SEO-0040","idea","cluster","pricing","brand designer","Freelance rate for brand designer","freelance-rate-for-brand-designer","","{""seed"":""brand designer""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-rate-for-brand-designer","pricing","core","CORE-040"
"SEO-0041","idea","cluster","pricing","US","Freelance pricing in US","freelance-pricing-in-us","","{""seed"":""US""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-pricing-in-us","pricing","core","CORE-041"
"SEO-0042","idea","cluster","pricing","UK","Freelance pricing in UK","freelance-pricing-in-uk","","{""seed"":""UK""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-pricing-in-uk","pricing","core","CORE-042"
"SEO-0043","idea","cluster","pricing","Canada","Freelance pricing in Canada","freelance-pricing-in-canada","","{""seed"":""Canada""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-pricing-in-canada","pricing","core","CORE-043"
"SEO-0044","idea","cluster","pricing","Australia","Freelance pricing in Australia","freelance-pricing-in-australia","","{""seed"":""Australia""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-pricing-in-australia","pricing","core","CORE-044"
"SEO-0045","idea","cluster","pricing","Germany","Freelance pricing in Germany","freelance-pricing-in-germany","","{""seed"":""Germany""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-pricing-in-germany","pricing","core","CORE-045"
"SEO-0046","idea","cluster","pricing","France","Freelance pricing in France","freelance-pricing-in-france","","{""seed"":""France""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-pricing-in-france","pricing","core","CORE-046"
"SEO-0047","idea","cluster","pricing","Netherlands","Freelance pricing in Netherlands","freelance-pricing-in-netherlands","","{""seed"":""Netherlands""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-pricing-in-netherlands","pricing","core","CORE-047"
"SEO-0048","idea","cluster","pricing","Singapore","Freelance pricing in Singapore","freelance-pricing-in-singapore","","{""seed"":""Singapore""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-pricing-in-singapore","pricing","core","CORE-048"
"SEO-0049","idea","cluster","pricing","India","Freelance pricing in India","freelance-pricing-in-india","","{""seed"":""India""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-pricing-in-india","pricing","core","CORE-049"
"SEO-0050","idea","cluster","pricing","Philippines","Freelance pricing in Philippines","freelance-pricing-in-philippines","","{""seed"":""Philippines""}","freelance-rate-calculator","freelance-pricing-guide","SEO-0021|SEO-0022|SEO-0023|SEO-0024","","","","","","","","","","","/pricing/freelance-pricing-in-philippines","pricing","core","CORE-050"
"SEO-0051","queued","problem","client-communication","client not responding","How to handle client not responding","client-not-responding","client_not_responding","{""seed"":""client not responding""}","client-negotiation-reply-generator","client-communication-guide","SEO-0052|SEO-0053|SEO-0054|SEO-0055","","","","","","","","","","","/client-communication/client-not-responding","reply","core","CORE-051"
"SEO-0052","queued","problem","client-communication","client ghosting","How to handle client ghosting","client-ghosting","client_ghosting","{""seed"":""client ghosting""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0053|SEO-0054|SEO-0055","","","","","","","","","","","/client-communication/client-ghosting","reply","core","CORE-052"
"SEO-0053","queued","problem","client-communication","client delayed reply","How to handle client delayed reply","client-delayed-reply","client_delayed_reply","{""seed"":""client delayed reply""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0054|SEO-0055","","","","","","","","","","","/client-communication/client-delayed-reply","reply","core","CORE-053"
"SEO-0054","queued","problem","client-communication","client rejecting proposal","How to handle client rejecting proposal","client-rejecting-proposal","client_rejecting_proposal","{""seed"":""client rejecting proposal""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0055","","","","","","","","","","","/client-communication/client-rejecting-proposal","reply","core","CORE-054"
"SEO-0055","queued","problem","client-communication","client requesting changes","How to handle client requesting changes","client-requesting-changes","client_requesting_changes","{""seed"":""client requesting changes""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-requesting-changes","reply","core","CORE-055"
"SEO-0056","queued","problem","client-communication","client asking many revisions","How to handle client asking many revisions","client-asking-many-revisions","client_asking_many_revisions","{""seed"":""client asking many revisions""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-asking-many-revisions","reply","core","CORE-056"
"SEO-0057","queued","problem","client-communication","client unclear requirements","How to handle client unclear requirements","client-unclear-requirements","client_unclear_requirements","{""seed"":""client unclear requirements""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-unclear-requirements","reply","core","CORE-057"
"SEO-0058","queued","problem","client-communication","client communication breakdown","How to handle client communication breakdown","client-communication-breakdown","client_communication_breakdown","{""seed"":""client communication breakdown""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-communication-breakdown","reply","core","CORE-058"
"SEO-0059","queued","problem","client-communication","client delaying feedback","How to handle client delaying feedback","client-delaying-feedback","client_delaying_feedback","{""seed"":""client delaying feedback""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-delaying-feedback","reply","core","CORE-059"
"SEO-0060","queued","problem","client-communication","client asking urgent delivery","How to handle client asking urgent delivery","client-asking-urgent-delivery","client_asking_urgent_delivery","{""seed"":""client asking urgent delivery""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-asking-urgent-delivery","reply","core","CORE-060"
"SEO-0061","idea","problem","client-communication","client changing scope","How to handle client changing scope","client-changing-scope","client_changing_scope","{""seed"":""client changing scope""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-changing-scope","reply","core","CORE-061"
"SEO-0062","idea","problem","client-communication","client misunderstanding deliverables","How to handle client misunderstanding deliverables","client-misunderstanding-deliverables","client_misunderstanding_deliverables","{""seed"":""client misunderstanding deliverables""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-misunderstanding-deliverables","reply","core","CORE-062"
"SEO-0063","idea","problem","client-communication","client refusing contract","How to handle client refusing contract","client-refusing-contract","client_refusing_contract","{""seed"":""client refusing contract""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-refusing-contract","reply","core","CORE-063"
"SEO-0064","idea","problem","client-communication","client ignoring invoice","How to handle client ignoring invoice","client-ignoring-invoice","client_ignoring_invoice","{""seed"":""client ignoring invoice""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-ignoring-invoice","reply","core","CORE-064"
"SEO-0065","idea","problem","client-communication","client pushing deadlines","How to handle client pushing deadlines","client-pushing-deadlines","client_pushing_deadlines","{""seed"":""client pushing deadlines""}","client-negotiation-reply-generator","client-communication-guide","SEO-0051|SEO-0052|SEO-0053|SEO-0054","","","","","","","","","","","/client-communication/client-pushing-deadlines","reply","core","CORE-065"
"SEO-0066","idea","problem","email-scripts","follow up proposal","Email template for follow up proposal","email-template-for-follow-up-proposal","follow_up_proposal","{""seed"":""follow up proposal""}","client-negotiation-reply-generator","freelance-email-templates","SEO-0067|SEO-0068|SEO-0069|SEO-0070","","","","","","","","","","","/email-scripts/email-template-for-follow-up-proposal","reply","core","CORE-066"
"SEO-0067","idea","problem","email-scripts","price negotiation","Email template for price negotiation","email-template-for-price-negotiation","price_negotiation","{""seed"":""price negotiation""}","client-negotiation-reply-generator","freelance-email-templates","SEO-0066|SEO-0068|SEO-0069|SEO-0070","","","","","","","","","","","/email-scripts/email-template-for-price-negotiation","reply","core","CORE-067"
"SEO-0068","idea","problem","email-scripts","late payment reminder","Email template for late payment reminder","email-template-for-late-payment-reminder","late_payment_reminder","{""seed"":""late payment reminder""}","client-negotiation-reply-generator","freelance-email-templates","SEO-0066|SEO-0067|SEO-0069|SEO-0070","","","","","","","","","","","/email-scripts/email-template-for-late-payment-reminder","reply","core","CORE-068"
"SEO-0069","idea","problem","email-scripts","project confirmation","Email template for project confirmation","email-template-for-project-confirmation","project_confirmation","{""seed"":""project confirmation""}","client-negotiation-reply-generator","freelance-email-templates","SEO-0066|SEO-0067|SEO-0068|SEO-0070","","","","","","","","","","","/email-scripts/email-template-for-project-confirmation","reply","core","CORE-069"
"SEO-0070","idea","problem","email-scripts","proposal reminder","Email template for proposal reminder","email-template-for-proposal-reminder","proposal_reminder","{""seed"":""proposal reminder""}","client-negotiation-reply-generator","freelance-email-templates","SEO-0066|SEO-0067|SEO-0068|SEO-0069","","","","","","","","","","","/email-scripts/email-template-for-proposal-reminder","reply","core","CORE-070"
"SEO-0071","idea","problem","email-scripts","scope change request","Email template for scope change request","email-template-for-scope-change-request","scope_change_request","{""seed"":""scope change request""}","client-negotiation-reply-generator","freelance-email-templates","SEO-0066|SEO-0067|SEO-0068|SEO-0069","","","","","","","","","","","/email-scripts/email-template-for-scope-change-request","reply","core","CORE-071"
"SEO-0072","idea","problem","email-scripts","client onboarding","Email template for client onboarding","email-template-for-client-onboarding","client_onboarding","{""seed"":""client onboarding""}","client-negotiation-reply-generator","freelance-email-templates","SEO-0066|SEO-0067|SEO-0068|SEO-0069","","","","","","","","","","","/email-scripts/email-template-for-client-onboarding","reply","core","CORE-072"
"SEO-0073","idea","problem","email-scripts","proposal rejection response","Email template for proposal rejection response","email-template-for-proposal-rejection-response","proposal_rejection_response","{""seed"":""proposal rejection response""}","client-negotiation-reply-generator","freelance-email-templates","SEO-0066|SEO-0067|SEO-0068|SEO-0069","","","","","","","","","","","/email-scripts/email-template-for-proposal-rejection-response","reply","core","CORE-073"
"SEO-0074","idea","problem","email-scripts","meeting scheduling","Email template for meeting scheduling","email-template-for-meeting-scheduling","meeting_scheduling","{""seed"":""meeting scheduling""}","client-negotiation-reply-generator","freelance-email-templates","SEO-0066|SEO-0067|SEO-0068|SEO-0069","","","","","","","","","","","/email-scripts/email-template-for-meeting-scheduling","reply","core","CORE-074"
"SEO-0075","idea","problem","email-scripts","contract signing","Email template for contract signing","email-template-for-contract-signing","contract_signing","{""seed"":""contract signing""}","client-negotiation-reply-generator","freelance-email-templates","SEO-0066|SEO-0067|SEO-0068|SEO-0069","","","","","","","","","","","/email-scripts/email-template-for-contract-signing","reply","core","CORE-075"
"SEO-0076","idea","cluster","proposals","web design","Freelance proposal for web design","freelance-proposal-for-web-design","","{""seed"":""web design""}","proposal-generator","freelance-proposal-guide","SEO-0077|SEO-0078|SEO-0079|SEO-0080","","","","","","","","","","","/proposals/freelance-proposal-for-web-design","proposal","core","CORE-076"
"SEO-0077","idea","cluster","proposals","copywriting","Freelance proposal for copywriting","freelance-proposal-for-copywriting","","{""seed"":""copywriting""}","proposal-generator","freelance-proposal-guide","SEO-0076|SEO-0078|SEO-0079|SEO-0080","","","","","","","","","","","/proposals/freelance-proposal-for-copywriting","proposal","core","CORE-077"
"SEO-0078","idea","cluster","proposals","SEO consulting","Freelance proposal for SEO consulting","freelance-proposal-for-seo-consulting","","{""seed"":""SEO consulting""}","proposal-generator","freelance-proposal-guide","SEO-0076|SEO-0077|SEO-0079|SEO-0080","","","","","","","","","","","/proposals/freelance-proposal-for-seo-consulting","proposal","core","CORE-078"
"SEO-0079","idea","cluster","proposals","branding","Freelance proposal for branding","freelance-proposal-for-branding","","{""seed"":""branding""}","proposal-generator","freelance-proposal-guide","SEO-0076|SEO-0077|SEO-0078|SEO-0080","","","","","","","","","","","/proposals/freelance-proposal-for-branding","proposal","core","CORE-079"
"SEO-0080","idea","cluster","proposals","logo design","Freelance proposal for logo design","freelance-proposal-for-logo-design","","{""seed"":""logo design""}","proposal-generator","freelance-proposal-guide","SEO-0076|SEO-0077|SEO-0078|SEO-0079","","","","","","","","","","","/proposals/freelance-proposal-for-logo-design","proposal","core","CORE-080"
"SEO-0081","idea","cluster","proposals","marketing strategy","Freelance proposal for marketing strategy","freelance-proposal-for-marketing-strategy","","{""seed"":""marketing strategy""}","proposal-generator","freelance-proposal-guide","SEO-0076|SEO-0077|SEO-0078|SEO-0079","","","","","","","","","","","/proposals/freelance-proposal-for-marketing-strategy","proposal","core","CORE-081"
"SEO-0082","idea","cluster","proposals","UX design","Freelance proposal for UX design","freelance-proposal-for-ux-design","","{""seed"":""UX design""}","proposal-generator","freelance-proposal-guide","SEO-0076|SEO-0077|SEO-0078|SEO-0079","","","","","","","","","","","/proposals/freelance-proposal-for-ux-design","proposal","core","CORE-082"
"SEO-0083","idea","cluster","proposals","video production","Freelance proposal for video production","freelance-proposal-for-video-production","","{""seed"":""video production""}","proposal-generator","freelance-proposal-guide","SEO-0076|SEO-0077|SEO-0078|SEO-0079","","","","","","","","","","","/proposals/freelance-proposal-for-video-production","proposal","core","CORE-083"
"SEO-0084","idea","cluster","proposals","landing page design","Freelance proposal for landing page design","freelance-proposal-for-landing-page-design","","{""seed"":""landing page design""}","proposal-generator","freelance-proposal-guide","SEO-0076|SEO-0077|SEO-0078|SEO-0079","","","","","","","","","","","/proposals/freelance-proposal-for-landing-page-design","proposal","core","CORE-084"
